rram_0.mem_0:rram_v (interpolated wth step=1e-11) X,rram_0.mem_0:rram_v (interpolated wth step=1e-11) Y,rram_0.mem_0:rram_g (interpolated wth step=1e-11) X,rram_0.mem_0:rram_g (interpolated wth step=1e-11) Y,rram_0.mem_0:rram_i (interpolated wth step=1e-11) X,rram_0.mem_0:rram_i (interpolated wth step=1e-11) Y,rram_0.mem_0:rram_r_read (interpolated wth step=1e-11) X,rram_0.mem_0:rram_r_read (interpolated wth step=1e-11) Y
3.400000000000001e-10,0,3.400000000000001e-10,1e-10,3.400000000000001e-10,0,3.400000000000001e-10,9983.641929456926
3.500000000000001e-10,0,3.500000000000001e-10,1e-10,3.500000000000001e-10,0,3.500000000000001e-10,9983.641929456926
3.600000000000002e-10,0,3.600000000000002e-10,1e-10,3.600000000000002e-10,0,3.600000000000002e-10,9983.641929456926
3.700000000000002e-10,0,3.700000000000002e-10,1e-10,3.700000000000002e-10,0,3.700000000000002e-10,9983.641929456926
3.800000000000002e-10,0,3.800000000000002e-10,1e-10,3.800000000000002e-10,0,3.800000000000002e-10,9983.641929456926
3.900000000000002e-10,0,3.900000000000002e-10,1e-10,3.900000000000002e-10,0,3.900000000000002e-10,9983.641929456926
4.000000000000002e-10,0,4.000000000000002e-10,1e-10,4.000000000000002e-10,0,4.000000000000002e-10,9983.641929456926
4.100000000000002e-10,0,4.100000000000002e-10,1e-10,4.100000000000002e-10,0,4.100000000000002e-10,9983.641929456926
4.200000000000003e-10,0,4.200000000000003e-10,1e-10,4.200000000000003e-10,0,4.200000000000003e-10,9983.641929456926
4.300000000000003e-10,0,4.300000000000003e-10,1e-10,4.300000000000003e-10,0,4.300000000000003e-10,9983.641929456926
4.400000000000003e-10,0,4.400000000000003e-10,1e-10,4.400000000000003e-10,0,4.400000000000003e-10,9983.641929456926
4.500000000000003e-10,0,4.500000000000003e-10,1e-10,4.500000000000003e-10,0,4.500000000000003e-10,9983.641929456926
4.600000000000003e-10,0,4.600000000000003e-10,1e-10,4.600000000000003e-10,0,4.600000000000003e-10,9983.641929456926
4.700000000000003e-10,0,4.700000000000003e-10,1e-10,4.700000000000003e-10,0,4.700000000000003e-10,9983.641929456926
4.800000000000003e-10,0,4.800000000000003e-10,1e-10,4.800000000000003e-10,0,4.800000000000003e-10,9983.641929456926
4.900000000000003e-10,0,4.900000000000003e-10,1e-10,4.900000000000003e-10,0,4.900000000000003e-10,9983.641929456926
5.000000000000002e-10,0,5.000000000000002e-10,1e-10,5.000000000000002e-10,0,5.000000000000002e-10,9983.641929456926
5.100000000000002e-10,0,5.100000000000002e-10,1e-10,5.100000000000002e-10,0,5.100000000000002e-10,9983.641929456926
5.200000000000002e-10,0,5.200000000000002e-10,1e-10,5.200000000000002e-10,0,5.200000000000002e-10,9983.641929456926
5.300000000000001e-10,0,5.300000000000001e-10,1e-10,5.300000000000001e-10,0,5.300000000000001e-10,9983.641929456926
5.400000000000001e-10,0,5.400000000000001e-10,1e-10,5.400000000000001e-10,0,5.400000000000001e-10,9983.641929456926
5.500000000000001e-10,0,5.500000000000001e-10,1e-10,5.500000000000001e-10,0,5.500000000000001e-10,9983.641929456926
5.6e-10,0,5.6e-10,1e-10,5.6e-10,0,5.6e-10,9983.641929456926
5.7e-10,0,5.7e-10,1e-10,5.7e-10,0,5.7e-10,9983.641929456926
5.8e-10,0,5.8e-10,1e-10,5.8e-10,0,5.8e-10,9983.641929456926
5.899999999999999e-10,0,5.899999999999999e-10,1e-10,5.899999999999999e-10,0,5.899999999999999e-10,9983.641929456926
5.999999999999999e-10,0,5.999999999999999e-10,1e-10,5.999999999999999e-10,0,5.999999999999999e-10,9983.641929456926
6.099999999999999e-10,0,6.099999999999999e-10,1e-10,6.099999999999999e-10,0,6.099999999999999e-10,9983.641929456926
6.199999999999998e-10,0,6.199999999999998e-10,1e-10,6.199999999999998e-10,0,6.199999999999998e-10,9983.641929456926
6.299999999999998e-10,0,6.299999999999998e-10,1e-10,6.299999999999998e-10,0,6.299999999999998e-10,9983.641929456926
6.399999999999998e-10,0,6.399999999999998e-10,1e-10,6.399999999999998e-10,0,6.399999999999998e-10,9983.641929456926
6.499999999999997e-10,0,6.499999999999997e-10,1e-10,6.499999999999997e-10,0,6.499999999999997e-10,9983.641929456926
6.599999999999997e-10,0,6.599999999999997e-10,1e-10,6.599999999999997e-10,0,6.599999999999997e-10,9983.641929456926
6.699999999999997e-10,0,6.699999999999997e-10,1e-10,6.699999999999997e-10,0,6.699999999999997e-10,9983.641929456926
6.799999999999996e-10,0,6.799999999999996e-10,1e-10,6.799999999999996e-10,0,6.799999999999996e-10,9983.641929456926
6.899999999999996e-10,0,6.899999999999996e-10,1e-10,6.899999999999996e-10,0,6.899999999999996e-10,9983.641929456926
6.999999999999995e-10,0,6.999999999999995e-10,1e-10,6.999999999999995e-10,0,6.999999999999995e-10,9983.641929456926
7.099999999999995e-10,0,7.099999999999995e-10,1e-10,7.099999999999995e-10,0,7.099999999999995e-10,9983.641929456926
7.199999999999995e-10,0,7.199999999999995e-10,1e-10,7.199999999999995e-10,0,7.199999999999995e-10,9983.641929456926
7.299999999999994e-10,0,7.299999999999994e-10,1e-10,7.299999999999994e-10,0,7.299999999999994e-10,9983.641929456926
7.399999999999994e-10,0,7.399999999999994e-10,1e-10,7.399999999999994e-10,0,7.399999999999994e-10,9983.641929456926
7.499999999999994e-10,0,7.499999999999994e-10,1e-10,7.499999999999994e-10,0,7.499999999999994e-10,9983.641929456926
7.599999999999993e-10,0,7.599999999999993e-10,1e-10,7.599999999999993e-10,0,7.599999999999993e-10,9983.641929456926
7.699999999999993e-10,0,7.699999999999993e-10,1e-10,7.699999999999993e-10,0,7.699999999999993e-10,9983.641929456926
7.799999999999993e-10,0,7.799999999999993e-10,1e-10,7.799999999999993e-10,0,7.799999999999993e-10,9983.641929456926
7.899999999999992e-10,0,7.899999999999992e-10,1e-10,7.899999999999992e-10,0,7.899999999999992e-10,9983.641929456926
7.999999999999992e-10,0,7.999999999999992e-10,1e-10,7.999999999999992e-10,0,7.999999999999992e-10,9983.641929456926
8.099999999999992e-10,0,8.099999999999992e-10,1e-10,8.099999999999992e-10,0,8.099999999999992e-10,9983.641929456926
8.199999999999991e-10,0,8.199999999999991e-10,1e-10,8.199999999999991e-10,0,8.199999999999991e-10,9983.641929456926
8.299999999999991e-10,0,8.299999999999991e-10,1e-10,8.299999999999991e-10,0,8.299999999999991e-10,9983.641929456926
8.399999999999991e-10,0,8.399999999999991e-10,1e-10,8.399999999999991e-10,0,8.399999999999991e-10,9983.641929456926
8.49999999999999e-10,0,8.49999999999999e-10,1e-10,8.49999999999999e-10,0,8.49999999999999e-10,9983.641929456926
8.59999999999999e-10,0,8.59999999999999e-10,1e-10,8.59999999999999e-10,0,8.59999999999999e-10,9983.641929456926
8.69999999999999e-10,0,8.69999999999999e-10,1e-10,8.69999999999999e-10,0,8.69999999999999e-10,9983.641929456926
8.799999999999989e-10,0,8.799999999999989e-10,1e-10,8.799999999999989e-10,0,8.799999999999989e-10,9983.641929456926
8.899999999999989e-10,0,8.899999999999989e-10,1e-10,8.899999999999989e-10,0,8.899999999999989e-10,9983.641929456926
8.999999999999989e-10,0,8.999999999999989e-10,1e-10,8.999999999999989e-10,0,8.999999999999989e-10,9983.641929456926
9.099999999999988e-10,0,9.099999999999988e-10,1e-10,9.099999999999988e-10,0,9.099999999999988e-10,9983.641929456926
9.199999999999988e-10,0,9.199999999999988e-10,1e-10,9.199999999999988e-10,0,9.199999999999988e-10,9983.641929456926
9.299999999999988e-10,0,9.299999999999988e-10,1e-10,9.299999999999988e-10,0,9.299999999999988e-10,9983.641929456926
9.399999999999988e-10,0,9.399999999999988e-10,1e-10,9.399999999999988e-10,0,9.399999999999988e-10,9983.641929456926
9.499999999999988e-10,0,9.499999999999988e-10,1e-10,9.499999999999988e-10,0,9.499999999999988e-10,9983.641929456926
9.599999999999988e-10,0,9.599999999999988e-10,1e-10,9.599999999999988e-10,0,9.599999999999988e-10,9983.641929456926
9.699999999999987e-10,0,9.699999999999987e-10,1e-10,9.699999999999987e-10,0,9.699999999999987e-10,9983.641929456926
9.799999999999987e-10,0,9.799999999999987e-10,1e-10,9.799999999999987e-10,0,9.799999999999987e-10,9983.641929456926
9.899999999999986e-10,0,9.899999999999986e-10,1e-10,9.899999999999986e-10,0,9.899999999999986e-10,9983.641929456926
9.999999999999986e-10,0,9.999999999999986e-10,1e-10,9.999999999999986e-10,0,9.999999999999986e-10,9983.641929456926
1.009999999999999e-09,0,1.009999999999999e-09,1e-10,1.009999999999999e-09,0,1.009999999999999e-09,9983.641929456926
1.019999999999999e-09,0,1.019999999999999e-09,1e-10,1.019999999999999e-09,0,1.019999999999999e-09,9983.641929456926
1.029999999999999e-09,0,1.029999999999999e-09,1e-10,1.029999999999999e-09,0,1.029999999999999e-09,9983.641929456926
1.039999999999998e-09,0,1.039999999999998e-09,1e-10,1.039999999999998e-09,0,1.039999999999998e-09,9983.641929456926
1.049999999999998e-09,0,1.049999999999998e-09,1e-10,1.049999999999998e-09,0,1.049999999999998e-09,9983.641929456926
1.059999999999998e-09,0,1.059999999999998e-09,1e-10,1.059999999999998e-09,0,1.059999999999998e-09,9983.641929456926
1.069999999999998e-09,0,1.069999999999998e-09,1e-10,1.069999999999998e-09,0,1.069999999999998e-09,9983.641929456926
1.079999999999998e-09,0,1.079999999999998e-09,1e-10,1.079999999999998e-09,0,1.079999999999998e-09,9983.641929456926
1.089999999999998e-09,0,1.089999999999998e-09,1e-10,1.089999999999998e-09,0,1.089999999999998e-09,9983.641929456926
1.099999999999998e-09,0,1.099999999999998e-09,1e-10,1.099999999999998e-09,0,1.099999999999998e-09,9983.641929456926
1.109999999999998e-09,0,1.109999999999998e-09,1e-10,1.109999999999998e-09,0,1.109999999999998e-09,9983.641929456926
1.119999999999998e-09,0,1.119999999999998e-09,1e-10,1.119999999999998e-09,0,1.119999999999998e-09,9983.641929456926
1.129999999999998e-09,0,1.129999999999998e-09,1e-10,1.129999999999998e-09,0,1.129999999999998e-09,9983.641929456926
1.139999999999998e-09,0,1.139999999999998e-09,1e-10,1.139999999999998e-09,0,1.139999999999998e-09,9983.641929456926
1.149999999999998e-09,0,1.149999999999998e-09,1e-10,1.149999999999998e-09,0,1.149999999999998e-09,9983.641929456926
1.159999999999998e-09,0,1.159999999999998e-09,1e-10,1.159999999999998e-09,0,1.159999999999998e-09,9983.641929456926
1.169999999999998e-09,0,1.169999999999998e-09,1e-10,1.169999999999998e-09,0,1.169999999999998e-09,9983.641929456926
1.179999999999998e-09,0,1.179999999999998e-09,1e-10,1.179999999999998e-09,0,1.179999999999998e-09,9983.641929456926
1.189999999999998e-09,0,1.189999999999998e-09,1e-10,1.189999999999998e-09,0,1.189999999999998e-09,9983.641929456926
1.199999999999998e-09,0,1.199999999999998e-09,1e-10,1.199999999999998e-09,0,1.199999999999998e-09,9983.641929456926
1.209999999999998e-09,0,1.209999999999998e-09,1e-10,1.209999999999998e-09,0,1.209999999999998e-09,9983.641929456926
1.219999999999998e-09,0,1.219999999999998e-09,1e-10,1.219999999999998e-09,0,1.219999999999998e-09,9983.641929456926
1.229999999999998e-09,0,1.229999999999998e-09,1e-10,1.229999999999998e-09,0,1.229999999999998e-09,9983.641929456926
1.239999999999998e-09,0,1.239999999999998e-09,1e-10,1.239999999999998e-09,0,1.239999999999998e-09,9983.641929456926
1.249999999999998e-09,0,1.249999999999998e-09,1e-10,1.249999999999998e-09,0,1.249999999999998e-09,9983.641929456926
1.259999999999998e-09,0,1.259999999999998e-09,1e-10,1.259999999999998e-09,0,1.259999999999998e-09,9983.641929456926
1.269999999999998e-09,0,1.269999999999998e-09,1e-10,1.269999999999998e-09,0,1.269999999999998e-09,9983.641929456926
1.279999999999998e-09,0,1.279999999999998e-09,1e-10,1.279999999999998e-09,0,1.279999999999998e-09,9983.641929456926
1.289999999999998e-09,0,1.289999999999998e-09,1e-10,1.289999999999998e-09,0,1.289999999999998e-09,9983.641929456926
1.299999999999998e-09,0,1.299999999999998e-09,1e-10,1.299999999999998e-09,0,1.299999999999998e-09,9983.641929456926
1.309999999999998e-09,0,1.309999999999998e-09,1e-10,1.309999999999998e-09,0,1.309999999999998e-09,9983.641929456926
1.319999999999998e-09,0,1.319999999999998e-09,1e-10,1.319999999999998e-09,0,1.319999999999998e-09,9983.641929456926
1.329999999999997e-09,0,1.329999999999997e-09,1e-10,1.329999999999997e-09,0,1.329999999999997e-09,9983.641929456926
1.339999999999997e-09,0,1.339999999999997e-09,1e-10,1.339999999999997e-09,0,1.339999999999997e-09,9983.641929456926
1.349999999999997e-09,0,1.349999999999997e-09,1e-10,1.349999999999997e-09,0,1.349999999999997e-09,9983.641929456926
1.359999999999997e-09,0,1.359999999999997e-09,1e-10,1.359999999999997e-09,0,1.359999999999997e-09,9983.641929456926
1.369999999999997e-09,0,1.369999999999997e-09,1e-10,1.369999999999997e-09,0,1.369999999999997e-09,9983.641929456926
1.379999999999997e-09,0,1.379999999999997e-09,1e-10,1.379999999999997e-09,0,1.379999999999997e-09,9983.641929456926
1.389999999999997e-09,0,1.389999999999997e-09,1e-10,1.389999999999997e-09,0,1.389999999999997e-09,9983.641929456926
1.399999999999997e-09,0,1.399999999999997e-09,1e-10,1.399999999999997e-09,0,1.399999999999997e-09,9983.641929456926
1.409999999999997e-09,0,1.409999999999997e-09,1e-10,1.409999999999997e-09,0,1.409999999999997e-09,9983.641929456926
1.419999999999997e-09,0,1.419999999999997e-09,1e-10,1.419999999999997e-09,0,1.419999999999997e-09,9983.641929456926
1.429999999999997e-09,0,1.429999999999997e-09,1e-10,1.429999999999997e-09,0,1.429999999999997e-09,9983.641929456926
1.439999999999997e-09,0,1.439999999999997e-09,1e-10,1.439999999999997e-09,0,1.439999999999997e-09,9983.641929456926
1.449999999999997e-09,0,1.449999999999997e-09,1e-10,1.449999999999997e-09,0,1.449999999999997e-09,9983.641929456926
1.459999999999997e-09,0,1.459999999999997e-09,1e-10,1.459999999999997e-09,0,1.459999999999997e-09,9983.641929456926
1.469999999999997e-09,0,1.469999999999997e-09,1e-10,1.469999999999997e-09,0,1.469999999999997e-09,9983.641929456926
1.479999999999997e-09,0,1.479999999999997e-09,1e-10,1.479999999999997e-09,0,1.479999999999997e-09,9983.641929456926
1.489999999999997e-09,0,1.489999999999997e-09,1e-10,1.489999999999997e-09,0,1.489999999999997e-09,9983.641929456926
1.499999999999997e-09,0,1.499999999999997e-09,1e-10,1.499999999999997e-09,0,1.499999999999997e-09,9983.641929456926
1.509999999999997e-09,0,1.509999999999997e-09,1e-10,1.509999999999997e-09,0,1.509999999999997e-09,9983.641929456926
1.519999999999997e-09,0,1.519999999999997e-09,1e-10,1.519999999999997e-09,0,1.519999999999997e-09,9983.641929456926
1.529999999999997e-09,0,1.529999999999997e-09,1e-10,1.529999999999997e-09,0,1.529999999999997e-09,9983.641929456926
1.539999999999997e-09,0,1.539999999999997e-09,1e-10,1.539999999999997e-09,0,1.539999999999997e-09,9983.641929456926
1.549999999999997e-09,0,1.549999999999997e-09,1e-10,1.549999999999997e-09,0,1.549999999999997e-09,9983.641929456926
1.559999999999997e-09,0,1.559999999999997e-09,1e-10,1.559999999999997e-09,0,1.559999999999997e-09,9983.641929456926
1.569999999999997e-09,0,1.569999999999997e-09,1e-10,1.569999999999997e-09,0,1.569999999999997e-09,9983.641929456926
1.579999999999997e-09,0,1.579999999999997e-09,1e-10,1.579999999999997e-09,0,1.579999999999997e-09,9983.641929456926
1.589999999999997e-09,0,1.589999999999997e-09,1e-10,1.589999999999997e-09,0,1.589999999999997e-09,9983.641929456926
1.599999999999997e-09,0,1.599999999999997e-09,1e-10,1.599999999999997e-09,0,1.599999999999997e-09,9983.641929456926
1.609999999999997e-09,0,1.609999999999997e-09,1e-10,1.609999999999997e-09,0,1.609999999999997e-09,9983.641929456926
1.619999999999996e-09,0,1.619999999999996e-09,1e-10,1.619999999999996e-09,0,1.619999999999996e-09,9983.641929456926
1.629999999999996e-09,0,1.629999999999996e-09,1e-10,1.629999999999996e-09,0,1.629999999999996e-09,9983.641929456926
1.639999999999996e-09,0,1.639999999999996e-09,1e-10,1.639999999999996e-09,0,1.639999999999996e-09,9983.641929456926
1.649999999999996e-09,0,1.649999999999996e-09,1e-10,1.649999999999996e-09,0,1.649999999999996e-09,9983.641929456926
1.659999999999996e-09,0,1.659999999999996e-09,1e-10,1.659999999999996e-09,0,1.659999999999996e-09,9983.641929456926
1.669999999999996e-09,0,1.669999999999996e-09,1e-10,1.669999999999996e-09,0,1.669999999999996e-09,9983.641929456926
1.679999999999996e-09,0,1.679999999999996e-09,1e-10,1.679999999999996e-09,0,1.679999999999996e-09,9983.641929456926
1.689999999999996e-09,0,1.689999999999996e-09,1e-10,1.689999999999996e-09,0,1.689999999999996e-09,9983.641929456926
1.699999999999996e-09,0,1.699999999999996e-09,1e-10,1.699999999999996e-09,0,1.699999999999996e-09,9983.641929456926
1.709999999999996e-09,0,1.709999999999996e-09,1e-10,1.709999999999996e-09,0,1.709999999999996e-09,9983.641929456926
1.719999999999996e-09,0,1.719999999999996e-09,1e-10,1.719999999999996e-09,0,1.719999999999996e-09,9983.641929456926
1.729999999999996e-09,0,1.729999999999996e-09,1e-10,1.729999999999996e-09,0,1.729999999999996e-09,9983.641929456926
1.739999999999996e-09,0,1.739999999999996e-09,1e-10,1.739999999999996e-09,0,1.739999999999996e-09,9983.641929456926
1.749999999999996e-09,0,1.749999999999996e-09,1e-10,1.749999999999996e-09,0,1.749999999999996e-09,9983.641929456926
1.759999999999996e-09,0,1.759999999999996e-09,1e-10,1.759999999999996e-09,0,1.759999999999996e-09,9983.641929456926
1.769999999999996e-09,0,1.769999999999996e-09,1e-10,1.769999999999996e-09,0,1.769999999999996e-09,9983.641929456926
1.779999999999996e-09,0,1.779999999999996e-09,1e-10,1.779999999999996e-09,0,1.779999999999996e-09,9983.641929456926
1.789999999999996e-09,0,1.789999999999996e-09,1e-10,1.789999999999996e-09,0,1.789999999999996e-09,9983.641929456926
1.799999999999996e-09,0,1.799999999999996e-09,1e-10,1.799999999999996e-09,0,1.799999999999996e-09,9983.641929456926
1.809999999999996e-09,0,1.809999999999996e-09,1e-10,1.809999999999996e-09,0,1.809999999999996e-09,9983.641929456926
1.819999999999996e-09,0,1.819999999999996e-09,1e-10,1.819999999999996e-09,0,1.819999999999996e-09,9983.641929456926
1.829999999999996e-09,0,1.829999999999996e-09,1e-10,1.829999999999996e-09,0,1.829999999999996e-09,9983.641929456926
1.839999999999996e-09,0,1.839999999999996e-09,1e-10,1.839999999999996e-09,0,1.839999999999996e-09,9983.641929456926
1.849999999999996e-09,0,1.849999999999996e-09,1e-10,1.849999999999996e-09,0,1.849999999999996e-09,9983.641929456926
1.859999999999996e-09,0,1.859999999999996e-09,1e-10,1.859999999999996e-09,0,1.859999999999996e-09,9983.641929456926
1.869999999999996e-09,0,1.869999999999996e-09,1e-10,1.869999999999996e-09,0,1.869999999999996e-09,9983.641929456926
1.879999999999996e-09,0,1.879999999999996e-09,1e-10,1.879999999999996e-09,0,1.879999999999996e-09,9983.641929456926
1.889999999999996e-09,0,1.889999999999996e-09,1e-10,1.889999999999996e-09,0,1.889999999999996e-09,9983.641929456926
1.899999999999996e-09,0,1.899999999999996e-09,1e-10,1.899999999999996e-09,0,1.899999999999996e-09,9983.641929456926
1.909999999999997e-09,0,1.909999999999997e-09,1e-10,1.909999999999997e-09,0,1.909999999999997e-09,9983.641929456926
1.919999999999997e-09,0,1.919999999999997e-09,1e-10,1.919999999999997e-09,0,1.919999999999997e-09,9983.641929456926
1.929999999999997e-09,0,1.929999999999997e-09,1e-10,1.929999999999997e-09,0,1.929999999999997e-09,9983.641929456926
1.939999999999997e-09,0,1.939999999999997e-09,1e-10,1.939999999999997e-09,0,1.939999999999997e-09,9983.641929456926
1.949999999999997e-09,0,1.949999999999997e-09,1e-10,1.949999999999997e-09,0,1.949999999999997e-09,9983.641929456926
1.959999999999997e-09,0,1.959999999999997e-09,1e-10,1.959999999999997e-09,0,1.959999999999997e-09,9983.641929456926
1.969999999999998e-09,0,1.969999999999998e-09,1e-10,1.969999999999998e-09,0,1.969999999999998e-09,9983.641929456926
1.979999999999998e-09,0,1.979999999999998e-09,1e-10,1.979999999999998e-09,0,1.979999999999998e-09,9983.641929456926
1.989999999999998e-09,0,1.989999999999998e-09,1e-10,1.989999999999998e-09,0,1.989999999999998e-09,9983.641929456926
1.999999999999998e-09,0,1.999999999999998e-09,1e-10,1.999999999999998e-09,0,1.999999999999998e-09,9983.641929456926
2.009999999999998e-09,0,2.009999999999998e-09,1e-10,2.009999999999998e-09,0,2.009999999999998e-09,9983.641929456926
2.019999999999998e-09,0,2.019999999999998e-09,1e-10,2.019999999999998e-09,0,2.019999999999998e-09,9983.641929456926
2.029999999999999e-09,0,2.029999999999999e-09,1e-10,2.029999999999999e-09,0,2.029999999999999e-09,9983.641929456926
2.039999999999999e-09,0,2.039999999999999e-09,1e-10,2.039999999999999e-09,0,2.039999999999999e-09,9983.641929456926
2.049999999999999e-09,0,2.049999999999999e-09,1e-10,2.049999999999999e-09,0,2.049999999999999e-09,9983.641929456926
2.059999999999999e-09,0,2.059999999999999e-09,1e-10,2.059999999999999e-09,0,2.059999999999999e-09,9983.641929456926
2.069999999999999e-09,0,2.069999999999999e-09,1e-10,2.069999999999999e-09,0,2.069999999999999e-09,9983.641929456926
2.079999999999999e-09,0,2.079999999999999e-09,1e-10,2.079999999999999e-09,0,2.079999999999999e-09,9983.641929456926
2.09e-09,0,2.09e-09,1e-10,2.09e-09,0,2.09e-09,9983.641929456926
2.1e-09,0,2.1e-09,1e-10,2.1e-09,0,2.1e-09,9983.641929456926
2.11e-09,0,2.11e-09,1e-10,2.11e-09,0,2.11e-09,9983.641929456926
2.12e-09,0,2.12e-09,1e-10,2.12e-09,0,2.12e-09,9983.641929456926
2.13e-09,0,2.13e-09,1e-10,2.13e-09,0,2.13e-09,9983.641929456926
2.14e-09,0,2.14e-09,1e-10,2.14e-09,0,2.14e-09,9983.641929456926
2.150000000000001e-09,0,2.150000000000001e-09,1e-10,2.150000000000001e-09,0,2.150000000000001e-09,9983.641929456926
2.160000000000001e-09,0,2.160000000000001e-09,1e-10,2.160000000000001e-09,0,2.160000000000001e-09,9983.641929456926
2.170000000000001e-09,0,2.170000000000001e-09,1e-10,2.170000000000001e-09,0,2.170000000000001e-09,9983.641929456926
2.180000000000001e-09,0,2.180000000000001e-09,1e-10,2.180000000000001e-09,0,2.180000000000001e-09,9983.641929456926
2.190000000000001e-09,0,2.190000000000001e-09,1e-10,2.190000000000001e-09,0,2.190000000000001e-09,9983.641929456926
2.200000000000002e-09,0,2.200000000000002e-09,1e-10,2.200000000000002e-09,0,2.200000000000002e-09,9983.641929456926
2.210000000000002e-09,0,2.210000000000002e-09,1e-10,2.210000000000002e-09,0,2.210000000000002e-09,9983.641929456926
2.220000000000002e-09,0,2.220000000000002e-09,1e-10,2.220000000000002e-09,0,2.220000000000002e-09,9983.641929456926
2.230000000000002e-09,0,2.230000000000002e-09,1e-10,2.230000000000002e-09,0,2.230000000000002e-09,9983.641929456926
2.240000000000002e-09,0,2.240000000000002e-09,1e-10,2.240000000000002e-09,0,2.240000000000002e-09,9983.641929456926
2.250000000000002e-09,0,2.250000000000002e-09,1e-10,2.250000000000002e-09,0,2.250000000000002e-09,9983.641929456926
2.260000000000003e-09,0,2.260000000000003e-09,1e-10,2.260000000000003e-09,0,2.260000000000003e-09,9983.641929456926
2.270000000000003e-09,0,2.270000000000003e-09,1e-10,2.270000000000003e-09,0,2.270000000000003e-09,9983.641929456926
2.280000000000003e-09,0,2.280000000000003e-09,1e-10,2.280000000000003e-09,0,2.280000000000003e-09,9983.641929456926
2.290000000000003e-09,0,2.290000000000003e-09,1e-10,2.290000000000003e-09,0,2.290000000000003e-09,9983.641929456926
2.300000000000003e-09,0,2.300000000000003e-09,1e-10,2.300000000000003e-09,0,2.300000000000003e-09,9983.641929456926
