1.846672384832744865e+04,1.846682290386849127e+04,9.983641929456925936e+03,9.983641929456925936e+03,9.983641929456925936e+03
3.163442363461614877e+04,3.397413946186411340e+04,3.635190923432655836e+04,9.983641929456925936e+03,9.983641929456925936e+03
4.621518252615662641e+04,5.005129979830166849e+04,5.660026406065964693e+04,9.983641929456925936e+03,9.983641929456925936e+03
6.197159418607624684e+04,6.884689610111824004e+04,7.732431915733042115e+04,1.163653203690060946e+04,9.983641929456925936e+03
7.875937398988481436e+04,8.751519433133049461e+04,1.010885104495818960e+05,1.041783259647879022e+05,9.983641929456925936e+03
9.650470686513216060e+04,1.088526515997679962e+05,1.265083117287034984e+05,1.298077472810519976e+05,9.983641929456925936e+03
1.151806334271665983e+05,1.298007000250779965e+05,1.536162383735720941e+05,1.571344063143325911e+05,9.983641929456925936e+03
1.347912944346755103e+05,1.536124636905440129e+05,1.806461699702767073e+05,1.862603589702373138e+05,9.983641929456925936e+03
1.553628296355629864e+05,1.769417165549439960e+05,2.113383089412907138e+05,2.173384946342075127e+05,1.938506671999588143e+05
1.769385711884871998e+05,2.034650688993752992e+05,2.441404558375341003e+05,2.505759205922618858e+05,2.214155317608620971e+05
1.995768789126664924e+05,2.294956319105112052e+05,2.793054633577262866e+05,2.862468376558013260e+05,2.528095170949081948e+05
2.233501455001934082e+05,2.591782192430575087e+05,3.147094441262526088e+05,3.247168606177074253e+05,2.840956942402665736e+05
2.483447092638647882e+05,2.884264125705083716e+05,3.554755946004649159e+05,3.692152090246732114e+05,3.200577924046143889e+05
2.746601708980777184e+05,3.219425431084734737e+05,3.998825871574060875e+05,4.152294110014013131e+05,3.563118377080173814e+05
3.024070709166047163e+05,3.551523421136711841e+05,4.486548639679094777e+05,4.662468680404464831e+05,3.986777609678275767e+05
3.317011670432946994e+05,3.934297563077370869e+05,5.027435297211476718e+05,5.236905986921794829e+05,4.456779140014526783e+05
3.626514937837037724e+05,4.315585711532792775e+05,5.593714729045904242e+05,5.896828133695370052e+05,4.951128495988316135e+05
3.953379729232328245e+05,4.756595212149420986e+05,6.275359188499636948e+05,6.674638933635074645e+05,5.565078543031455483e+05
4.297727875098561053e+05,5.195770702440115856e+05,7.054065032117117662e+05,7.620360356949943816e+05,6.256485391474303324e+05
4.658406522260988713e+05,5.700083303636352066e+05,7.945286178481985116e+05,8.893564067761185579e+05,7.209365846837435383e+05
5.032180452382331132e+05,6.193360701340474188e+05,8.886791662698258879e+05,1.044618447296635015e+06,8.469563565380438231e+05
5.412873073517651064e+05,6.741020405996021582e+05,9.982998103679881897e+05,1.240112491393361008e+06,1.071034338628584053e+06
5.790874287774626864e+05,7.249084388329527574e+05,1.111468775581812020e+06,1.462705860546072014e+06,1.472260882526397938e+06
6.153652451861469308e+05,7.772984498280158732e+05,1.219351018658712972e+06,1.677197506201888900e+06,2.098212162949831225e+06
6.487719204412869876e+05,8.216679305403587641e+05,1.308507050384599948e+06,1.853804167433198076e+06,2.565400873120660894e+06
6.781637949024627451e+05,8.630532941029790090e+05,1.386823346000771038e+06,1.985998529986751033e+06,2.822075619727495126e+06
7.028717639788712841e+05,8.947903535572406836e+05,1.447695412073069951e+06,2.081011440279230010e+06,2.989487574269164819e+06
7.228001910175165394e+05,9.219016967100836337e+05,1.493441368115165038e+06,2.152074853942976799e+06,3.089903885360465851e+06
7.383306430969631765e+05,9.412517025265538832e+05,1.525355916923881974e+06,2.199223596772479825e+06,3.162441651734794024e+06
7.501206487663458101e+05,9.569295968134388095e+05,1.550487486516301986e+06,2.233096023707020096e+06,3.209556134442888200e+06
7.589084875498418696e+05,9.677182513305257307e+05,1.568795225129316095e+06,2.257655788425134961e+06,3.245654958418223076e+06
7.835151472730494570e+05,9.996248439150446793e+05,1.621174159617719939e+06,2.331931980370829813e+06,3.354421639711759053e+06
