p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran" ?resultsDir "./arizona_rram_1t1r.raw") 130n) (-real)
313.0,536.6E3
314.0,536.8E3
315.0,537.1E3
316.0,537.3E3
317.0,537.5E3
318.0,537.7E3
319.0,538.0E3
320.0,538.2E3
321.0,538.4E3
322.0,538.6E3
323.0,538.8E3
324.0,538.9E3
325.0,539.1E3
326.0,539.3E3
327.0,539.5E3
328.0,539.6E3
329.0,539.8E3
330.0,539.9E3
331.0,540.1E3
332.0,540.2E3
333.0,540.3E3
334.0,540.5E3
335.0,540.6E3
336.0,540.7E3
337.0,540.8E3
338.0,541.0E3
339.0,541.1E3
340.0,541.2E3
341.0,541.3E3
342.0,541.4E3
343.0,541.5E3
344.0,541.6E3
345.0,541.7E3
346.0,541.8E3
347.0,541.9E3
348.0,541.9E3
349.0,542.0E3
350.0,542.1E3
351.0,542.2E3
352.0,542.2E3
353.0,542.3E3
354.0,542.4E3
355.0,542.5E3
356.0,542.5E3
357.0,542.6E3
358.0,542.6E3
359.0,542.7E3
360.0,542.8E3
361.0,542.8E3
362.0,542.9E3
363.0,542.9E3
364.0,543.0E3
365.0,543.0E3
366.0,543.1E3
367.0,543.1E3
368.0,543.2E3
369.0,543.2E3
370.0,543.2E3
371.0,543.3E3
372.0,543.3E3
373.0,543.4E3
374.0,543.4E3
375.0,543.4E3
376.0,543.5E3
377.0,543.5E3
378.0,543.5E3
379.0,543.6E3
380.0,543.6E3
381.0,543.6E3
382.0,543.7E3
383.0,543.7E3
384.0,543.7E3
385.0,543.7E3
386.0,543.8E3
387.0,543.8E3
388.0,543.8E3
389.0,543.8E3
390.0,543.9E3
391.0,543.9E3
392.0,543.9E3
393.0,543.9E3
394.0,543.9E3
395.0,544.0E3
396.0,544.0E3
397.0,544.0E3
398.0,544.0E3
399.0,544.0E3
400.0,544.1E3
401.0,544.1E3
402.0,544.1E3
403.0,544.1E3
404.0,544.1E3
405.0,544.1E3
406.0,544.2E3
407.0,544.2E3
408.0,544.2E3
409.0,544.2E3
410.0,544.2E3
411.0,544.2E3
412.0,544.2E3
413.0,544.2E3
414.0,544.3E3
415.0,544.3E3
416.0,544.3E3
417.0,544.3E3
418.0,544.3E3
419.0,544.3E3
420.0,544.3E3
421.0,544.3E3
422.0,544.3E3
423.0,544.3E3
424.0,544.4E3
425.0,544.4E3
426.0,544.4E3
427.0,544.4E3
428.0,544.4E3
429.0,544.4E3
430.0,544.4E3
431.0,544.4E3
432.0,544.4E3
433.0,544.4E3
434.0,544.4E3
435.0,544.4E3
436.0,544.4E3
437.0,544.4E3
438.0,544.5E3
439.0,544.5E3
440.0,544.5E3
441.0,544.5E3
442.0,544.5E3
443.0,544.5E3
444.0,544.5E3
445.0,544.5E3
446.0,544.5E3
