p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
315.0,888.7E3
316.0,895.3E3
317.0,901.9E3
318.0,908.6E3
319.0,915.4E3
320.0,922.1E3
321.0,928.9E3
322.0,935.7E3
323.0,942.6E3
324.0,949.5E3
325.0,956.4E3
326.0,963.3E3
327.0,970.3E3
328.0,977.2E3
329.0,984.2E3
330.0,991.3E3
331.0,998.3E3
332.0,1.005E6
333.0,1.012E6
334.0,1.019E6
335.0,1.027E6
336.0,1.034E6
337.0,1.041E6
338.0,1.048E6
339.0,1.055E6
340.0,1.062E6
341.0,1.069E6
342.0,1.076E6
343.0,1.083E6
344.0,1.090E6
345.0,1.097E6
346.0,1.104E6
347.0,1.111E6
348.0,1.118E6
349.0,1.125E6
350.0,1.132E6
351.0,1.139E6
352.0,1.146E6
353.0,1.153E6
354.0,1.160E6
355.0,1.167E6
356.0,1.173E6
357.0,1.180E6
358.0,1.187E6
359.0,1.193E6
360.0,1.200E6
361.0,1.206E6
362.0,1.213E6
363.0,1.219E6
364.0,1.226E6
365.0,1.232E6
366.0,1.238E6
367.0,1.244E6
368.0,1.251E6
369.0,1.257E6
370.0,1.263E6
371.0,1.269E6
372.0,1.275E6
373.0,1.280E6
374.0,1.286E6
375.0,1.292E6
376.0,1.297E6
377.0,1.303E6
378.0,1.309E6
379.0,1.314E6
380.0,1.319E6
381.0,1.325E6
382.0,1.330E6
383.0,1.335E6
384.0,1.340E6
385.0,1.345E6
386.0,1.350E6
387.0,1.355E6
388.0,1.360E6
389.0,1.364E6
390.0,1.369E6
391.0,1.374E6
392.0,1.378E6
393.0,1.382E6
394.0,1.387E6
395.0,1.391E6
396.0,1.395E6
397.0,1.400E6
398.0,1.404E6
399.0,1.408E6
400.0,1.412E6
401.0,1.415E6
402.0,1.419E6
403.0,1.423E6
404.0,1.427E6
405.0,1.430E6
406.0,1.434E6
407.0,1.438E6
408.0,1.441E6
409.0,1.444E6
410.0,1.448E6
411.0,1.451E6
412.0,1.454E6
413.0,1.457E6
414.0,1.460E6
415.0,1.463E6
416.0,1.466E6
417.0,1.469E6
418.0,1.472E6
419.0,1.475E6
