p_level ,"value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)","value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)"
0,9984,9984
1,9984,9984
2,9984,9984
3,9984,9984
4,9984,9984
5,9984,9984
6,9984,24110
7,9984,25070
8,9984,26910
9,9984,9984
10,9984,9984
11,9984,30430
12,9984,9984
13,12290,12290
14,33970,33970
15,34670,34670
16,36350,36350
17,37550,37550
18,38770,38770
19,39990,39990
20,41220,41220
21,42450,42450
22,43700,43700
23,44950,44950
24,46220,46220
25,47490,47490
26,48770,48770
27,50050,50050
28,51350,51350
29,52650,52650
30,53960,53960
31,55280,55280
32,56600,56600
33,57930,57930
34,59270,59270
35,60620,60620
36,61970,61970
37,63330,63330
38,64700,64700
39,66080,66080
40,67460,67460
41,68850,68850
42,70240,70240
43,71650,71650
44,73060,73060
45,74470,74470
46,75890,75890
47,77320,77320
48,78760,78760
49,80200,80200
50,81650,81650
51,83110,83110
52,84570,84570
53,86040,86040
54,87520,87520
55,89000,89000
56,90490,90490
57,91980,91980
58,93480,93480
59,94990,94990
60,96510,96510
61,98030,98030
62,99550,99550
63,101100,101100
64,102600,102600
65,104200,104200
66,105700,105700
67,107300,107300
68,108900,108900
69,110400,110400
70,112000,112000
71,113600,113600
72,115200,115200
73,116800,116800
74,118400,118400
75,120000,120000
76,121600,121600
77,123200,123200
78,124900,124900
79,126500,126500
80,128200,128200
81,129800,129800
82,131500,131500
83,133100,133100
84,134800,134800
85,136500,136500
86,138200,138200
87,139800,139800
88,141500,141500
89,143200,143200
90,145000,145000
91,146700,146700
92,148400,148400
93,150100,150100
94,151900,151900
95,153600,153600
96,155400,155400
97,157100,157100
98,158900,158900
99,160700,160700
100,162400,162400
101,164200,164200
102,166000,166000
103,167800,167800
104,169600,169600
105,171500,171500
106,173300,173300
107,175100,175100
108,176900,176900
109,178800,178800
110,180600,180600
111,182500,182500
112,184400,184400
113,186200,186200
114,188100,188100
115,190000,190000
116,191900,191900
117,193800,193800
118,195700,195700
119,197700,197700
120,199600,199600
121,201500,201500
122,203500,203500
123,205400,205400
124,207400,207400
125,209400,209400
126,211300,211300
127,213300,213300
128,215300,215300
129,217300,217300
130,219300,219300
131,221400,221400
132,223400,223400
133,225400,225400
134,227500,227500
135,229500,229500
136,231600,231600
137,233600,233600
138,235700,235700
139,237800,237800
140,239900,239900
141,242000,242000
142,244100,244100
143,246300,246300
144,248400,248400
145,250500,250500
146,252700,252700
147,254900,254900
148,257000,257000
149,259200,259200
150,261400,261400
151,263600,263600
152,265800,265800
153,268000,268000
154,270300,270300
155,272500,272500
156,274800,274800
157,277000,277000
158,279300,279300
159,281600,281600
160,283900,283900
161,286200,286200
162,288500,288500
163,290800,290800
164,293200,293200
165,295500,295500
166,297900,297900
167,300200,300200
168,302600,302600
169,305000,305000
170,307400,307400
171,309800,309800
172,312300,312300
173,314700,314700
174,317200,317200
175,319600,319600
176,322100,322100
177,324600,324600
178,327100,327100
179,329600,329600
180,332100,332100
181,334700,334700
182,337200,337200
183,339800,339800
184,342400,342400
185,345000,345000
186,347600,347600
187,350200,350200
188,352800,352800
189,355500,355500
190,358100,358100
191,360800,360800
192,363500,363500
193,366200,366200
194,368900,368900
195,371700,371700
196,374400,374400
197,377200,377200
198,380000,380000
199,382800,382800
200,385600,385600
201,388400,388400
202,391200,391200
203,394100,394100
204,397000,397000
205,399900,399900
206,402800,402800
207,405700,405700
208,408700,408700
209,411600,411600
210,414600,414600
211,417600,417600
212,420600,420600
213,423700,423700
214,426700,426700
215,429800,429800
216,432900,432900
217,436000,436000
218,439100,439100
219,442300,442300
220,445500,445500
221,448700,448700
222,451900,451900
223,455100,455100
224,458400,458400
225,461600,461600
226,464900,464900
227,468300,468300
228,471600,471600
229,475000,475000
230,478400,478400
231,481800,481800
232,485200,485200
233,488700,488700
234,492100,492100
235,495700,495700
236,499200,499200
237,502700,502700
238,506300,506300
239,509900,509900
240,513600,513600
241,517200,517200
242,520900,520900
243,524600,524600
244,528400,528400
245,532200,532200
246,536000,536000
247,539800,539800
248,543600,543600
249,547500,547500
250,551400,551400
251,555400,555400
252,559400,559400
253,563400,563400
254,567400,567400
255,571500,571500
256,575600,575600
257,579700,579700
258,583900,583900
259,588100,588100
260,592400,592400
261,596600,596600
262,600900,600900
263,605300,605300
264,609700,609700
265,614100,614100
266,618500,618500
267,623000,623000
268,627500,627500
269,632100,632100
270,636700,636700
271,641300,641300
272,646000,646000
273,650700,650700
274,655500,655500
275,660300,660300
276,665100,665100
277,670000,670000
278,675000,675000
279,679900,679900
280,684900,684900
281,690000,690000
282,695100,695100
283,700200,700200
284,705400,705400
285,710600,710600
286,715900,715900
287,721200,721200
288,726600,726600
289,732000,732000
290,737400,737400
291,742900,742900
292,748500,748500
293,754100,754100
294,759700,759700
295,765400,765400
296,771100,771100
297,776900,776900
298,782700,782700
299,788600,788600
300,794500,794500
301,800500,800500
302,806500,806500
303,812600,812600
304,818700,818700
305,824800,824800
306,831000,831000
307,837200,837200
308,843500,843500
309,849800,849800
310,856200,856200
311,862600,862600
312,869100,869100
313,875600,875600
314,882100,882100
315,888700,888700
316,895300,895300
317,901900,901900
318,908600,908600
319,915400,915400
320,922100,922100
321,928900,928900
322,935700,935700
323,942600,942600
324,949500,949500
325,956400,956400
326,963300,963300
327,970300,970300
328,977200,977200
329,984200,984200
330,991300,991300
331,998300,998300
332,1005000,1005000
333,1012000,1012000
334,1019000,1019000
335,1027000,1027000
336,1034000,1034000
337,1041000,1041000
338,1048000,1048000
339,1055000,1055000
340,1062000,1062000
341,1069000,1069000
342,1076000,1076000
343,1083000,1083000
344,1090000,1090000
345,1097000,1097000
346,1104000,1104000
347,1111000,1111000
348,1118000,1118000
349,1125000,1125000
350,1132000,1132000
351,1139000,1139000
352,1146000,1146000
353,1153000,1153000
354,1160000,1160000
355,1167000,1167000
356,1173000,1173000
357,1180000,1180000
358,1187000,1187000
359,1193000,1193000
360,1200000,1200000
361,1206000,1206000
362,1213000,1213000
363,1219000,1219000
364,1226000,1226000
365,1232000,1232000
366,1238000,1238000
367,1244000,1244000
368,1251000,1251000
369,1257000,1257000
370,1263000,1263000
371,1269000,1269000
372,1275000,1275000
373,1280000,1280000
374,1286000,1286000
375,1292000,1292000
376,1297000,1297000
377,1303000,1303000
378,1309000,1309000
379,1314000,1314000
380,1319000,1319000
381,1325000,1325000
382,1330000,1330000
383,1335000,1335000
384,1340000,1340000
385,1345000,1345000
386,1350000,1350000
387,1355000,1355000
388,1360000,1360000
389,1364000,1364000
390,1369000,1369000
391,1374000,1374000
392,1378000,1378000
393,1382000,1382000
394,1387000,1387000
395,1391000,1391000
396,1395000,1395000
397,1400000,1400000
398,1404000,1404000
399,1408000,1408000
400,1412000,1412000
401,1415000,1415000
402,1419000,1419000
403,1423000,1423000
404,1427000,1427000
405,1430000,1430000
406,1434000,1434000
407,1438000,1438000
408,1441000,1441000
409,1444000,1444000
410,1448000,1448000
411,1451000,1451000
412,1454000,1454000
413,1457000,1457000
414,1460000,1460000
415,1463000,1463000
416,1466000,1466000
417,1469000,1469000
418,1472000,1472000
419,1475000,1475000
420,1478000,1478000
421,1481000,1481000
422,1483000,1483000
423,1486000,1486000
424,1488000,1488000
425,1491000,1491000
426,1493000,1493000
427,1496000,1496000
428,1498000,1498000
429,1501000,1501000
430,1503000,1503000
431,1505000,1505000
432,1507000,1507000
433,1509000,1509000
434,1512000,1512000
435,1514000,1514000
436,1516000,1516000
437,1518000,1518000
438,1520000,1520000
439,1522000,1522000
440,1524000,1524000
441,1525000,1525000
442,1527000,1527000
443,1529000,1529000
444,1531000,1531000
445,1532000,1532000
446,1534000,1534000
447,1536000,1536000
448,1537000,1537000
449,1539000,1539000
450,1540000,1540000
451,1542000,1542000
452,1543000,1543000
453,1545000,1545000
454,1546000,1546000
455,1548000,1548000
456,1549000,1549000
457,1550000,1550000
458,1552000,1552000
459,1553000,1553000
460,1554000,1554000
461,1556000,1556000
462,1557000,1557000
463,1558000,1558000
464,1559000,1559000
465,1560000,1560000
466,1561000,1561000
467,1563000,1563000
468,1564000,1564000
469,1565000,1565000
470,1566000,1566000
471,1567000,1567000
472,1568000,1568000
473,1569000,1569000
474,1570000,1570000
475,1571000,1571000
476,1572000,1572000
477,1573000,1573000
478,1573000,1573000
479,1574000,1574000
480,1575000,1575000
481,1576000,1576000
482,1577000,1577000
483,1578000,1578000
484,1578000,1578000
485,1579000,1579000
486,1580000,1580000
487,1581000,1581000
488,1581000,1581000
489,1582000,1582000
490,1583000,1583000
491,1584000,1584000
492,1584000,1584000
493,1585000,1585000
494,1586000,1586000
495,1586000,1586000
496,1587000,1587000
497,1587000,1587000
498,1588000,1588000
499,1589000,1589000
500,1589000,1589000
501,1590000,1590000
502,1590000,1590000
503,1591000,1591000
504,1591000,1591000
505,1592000,1592000
506,1592000,1592000
507,1593000,1593000
508,1593000,1593000
509,1594000,1594000
510,1594000,1594000
511,1595000,1595000
512,1595000,1595000
513,1596000,1596000
514,1596000,1596000
515,1597000,1597000
516,1597000,1597000
517,1597000,1597000
518,1598000,1598000
519,1598000,1598000
520,1599000,1599000
521,1599000,1599000
522,1599000,1599000
523,1600000,1600000
524,1600000,1600000
525,1601000,1601000
526,1601000,1601000
527,1601000,1601000
528,1602000,1602000
529,1602000,1602000
530,1602000,1602000
531,1603000,1603000
532,1603000,1603000
533,1603000,1603000
