p_level ,"value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)","value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)"
0,9984,9984
1,9984,9984
2,9984,9984
3,9984,9984
4,9984,9984
5,9984,9984
6,9984,9984
7,9984,9984
8,9984,9984
9,9984,9984
10,9984,9984
11,9984,9984
12,9984,9984
13,9984,9984
14,9984,9984
15,9984,9984
16,9984,9984
17,9984,9984
18,9984,9984
19,9984,9984
20,9984,9984
21,9984,9984
22,9984,9984
23,9984,9984
24,9984,9984
25,9984,9984
26,9984,9984
27,9984,9984
28,9984,9984
29,9984,9984
30,9984,9984
31,9984,9984
32,9984,9984
33,9984,9984
34,9984,9984
35,9984,9984
36,9984,9984
37,9984,9984
38,9984,9984
39,9984,9984
40,9984,9984
41,9984,9984
42,9984,9984
43,9984,9984
44,9984,9984
45,9984,9984
46,9984,9984
47,9984,9984
48,9984,9984
49,9984,9984
50,9984,9984
51,9984,9984
52,9984,9984
53,9984,9984
54,9984,9984
55,9984,9984
56,9984,9984
57,9984,9984
58,9984,9984
59,9984,9984
60,9984,9984
61,9984,9984
62,9984,9984
63,9984,9984
64,9984,9984
65,9984,9984
66,9984,9984
67,9984,9984
68,9984,9984
69,9984,9984
70,9984,9984
71,9984,9984
72,9984,9984
73,9984,9984
74,9984,9984
75,9984,9984
76,9984,9984
77,9984,9984
78,9984,9984
79,9984,9984
80,9984,9984
81,9984,9984
82,9984,9984
83,9984,9984
84,9984,9984
85,9984,9984
86,9984,9984
87,9984,9984
88,9984,9984
89,9984,9984
90,9984,9984
91,9984,9984
92,9984,9984
93,9984,9984
94,9984,9984
95,9984,9984
96,9984,9984
97,9984,9984
98,9984,9984
99,9984,9984
100,9984,9984
101,9984,9984
102,9984,9984
103,9984,9984
104,9984,9984
105,9984,9984
106,9984,9984
107,9984,9984
108,9984,176900
109,9984,9984
110,9984,180600
111,9984,9984
112,9984,9984
113,186200,186200
114,188100,188100
115,190000,190000
116,191900,191900
117,193800,193800
118,195800,195800
119,197700,197700
120,199600,199600
121,201600,201600
122,203500,203500
123,205500,205500
124,207400,207400
125,209400,209400
126,211400,211400
127,213400,213400
128,215400,215400
129,217400,217400
130,219400,219400
131,221400,221400
132,223400,223400
133,225500,225500
134,227500,227500
135,229600,229600
136,231700,231700
137,233700,233700
138,235800,235800
139,237900,237900
140,240000,240000
141,242100,242100
142,244200,244200
143,246400,246400
144,248500,248500
145,250700,250700
146,252800,252800
147,255000,255000
148,257200,257200
149,259300,259300
150,261500,261500
151,263800,263800
152,266000,266000
153,268200,268200
154,270400,270400
155,272700,272700
156,274900,274900
157,277200,277200
158,279500,279500
159,281800,281800
160,284100,284100
161,286400,286400
162,288700,288700
163,291100,291100
164,293400,293400
165,295800,295800
166,298200,298200
167,300500,300500
168,302900,302900
169,305300,305300
170,307800,307800
171,310200,310200
172,312600,312600
173,315100,315100
174,317600,317600
175,320100,320100
176,322600,322600
177,325100,325100
178,327600,327600
179,330100,330100
180,332700,332700
181,335200,335200
182,337800,337800
183,340400,340400
184,343000,343000
185,345700,345700
186,348300,348300
187,351000,351000
188,353600,353600
189,356300,356300
190,359000,359000
191,361700,361700
192,364500,364500
193,367200,367200
194,370000,370000
195,372800,372800
196,375600,375600
197,378400,378400
198,381200,381200
199,384100,384100
200,387000,387000
201,389900,389900
202,392800,392800
203,395700,395700
204,398700,398700
205,401700,401700
206,404600,404600
207,407700,407700
208,410700,410700
209,413800,413800
210,416800,416800
211,420000,420000
212,423100,423100
213,426200,426200
214,429400,429400
215,432600,432600
216,435800,435800
217,439100,439100
218,442400,442400
219,445700,445700
220,449000,449000
221,452400,452400
222,455800,455800
223,459200,459200
224,462600,462600
225,466100,466100
226,469600,469600
227,473200,473200
228,476700,476700
229,480300,480300
230,484000,484000
231,487700,487700
232,491400,491400
233,495100,495100
234,498900,498900
235,502700,502700
236,506600,506600
237,510500,510500
238,514400,514400
239,518400,518400
240,522500,522500
241,526600,526600
242,530700,530700
243,534900,534900
244,539100,539100
245,543400,543400
246,547700,547700
247,552100,552100
248,556500,556500
249,561000,561000
250,565600,565600
251,570200,570200
252,574900,574900
253,579600,579600
254,584400,584400
255,589300,589300
256,594300,594300
257,599300,599300
258,604400,604400
259,609600,609600
260,614800,614800
261,620200,620200
262,625600,625600
263,631200,631200
264,636800,636800
265,642600,642600
266,648400,648400
267,654300,654300
268,660400,660400
269,666600,666600
270,672900,672900
271,679300,679300
272,685900,685900
273,692600,692600
274,699400,699400
275,706400,706400
276,713600,713600
277,720900,720900
278,728400,728400
279,736100,736100
280,744000,744000
281,752100,752100
282,760400,760400
283,768900,768900
284,777700,777700
285,786700,786700
286,796000,796000
287,805600,805600
288,815400,815400
289,825600,825600
290,836100,836100
291,847000,847000
292,858200,858200
293,869800,869800
294,881800,881800
295,894300,894300
296,907300,907300
297,920800,920800
298,934800,934800
299,949400,949400
300,964500,964500
301,980400,980400
302,996900,996900
303,1014000,1014000
304,1032000,1032000
305,1051000,1051000
306,1071000,1071000
307,1092000,1092000
308,1114000,1114000
309,1136000,1136000
310,1160000,1160000
311,1186000,1186000
312,1212000,1212000
313,1240000,1240000
314,1269000,1269000
315,1299000,1299000
316,1331000,1331000
317,1364000,1364000
318,1399000,1399000
319,1435000,1435000
320,1472000,1472000
321,1511000,1511000
322,1551000,1551000
323,1591000,1591000
324,1633000,1633000
325,1675000,1675000
326,1718000,1718000
327,1762000,1762000
328,1805000,1805000
329,1848000,1848000
330,1891000,1891000
331,1934000,1934000
332,1976000,1976000
333,2018000,2018000
334,2058000,2058000
335,2098000,2098000
336,2137000,2137000
337,2175000,2175000
338,2211000,2211000
339,2247000,2247000
340,2281000,2281000
341,2315000,2315000
342,2347000,2347000
343,2378000,2378000
344,2408000,2408000
345,2436000,2436000
346,2464000,2464000
347,2491000,2491000
348,2517000,2517000
349,2541000,2541000
350,2565000,2565000
351,2588000,2588000
352,2611000,2611000
353,2632000,2632000
354,2653000,2653000
355,2672000,2672000
356,2692000,2692000
357,2710000,2710000
358,2728000,2728000
359,2745000,2745000
360,2761000,2761000
361,2777000,2777000
362,2793000,2793000
363,2808000,2808000
364,2822000,2822000
365,2836000,2836000
366,2849000,2849000
367,2862000,2862000
368,2875000,2875000
369,2887000,2887000
370,2899000,2899000
371,2910000,2910000
372,2921000,2921000
373,2932000,2932000
374,2942000,2942000
375,2952000,2952000
376,2962000,2962000
377,2971000,2971000
378,2981000,2981000
379,2989000,2989000
380,2998000,2998000
381,3006000,3006000
382,3015000,3015000
383,3022000,3022000
384,3030000,3030000
385,3037000,3037000
386,3045000,3045000
387,3052000,3052000
388,3059000,3059000
389,3065000,3065000
390,3072000,3072000
391,3078000,3078000
392,3084000,3084000
393,3090000,3090000
394,3096000,3096000
395,3101000,3101000
396,3107000,3107000
397,3112000,3112000
398,3117000,3117000
399,3122000,3122000
400,3127000,3127000
401,3132000,3132000
402,3137000,3137000
403,3141000,3141000
404,3146000,3146000
405,3150000,3150000
406,3154000,3154000
407,3158000,3158000
408,3162000,3162000
409,3166000,3166000
410,3170000,3170000
411,3174000,3174000
412,3178000,3178000
413,3181000,3181000
414,3185000,3185000
415,3188000,3188000
416,3191000,3191000
417,3195000,3195000
418,3198000,3198000
419,3201000,3201000
420,3204000,3204000
421,3207000,3207000
422,3210000,3210000
423,3212000,3212000
424,3215000,3215000
425,3218000,3218000
426,3220000,3220000
427,3223000,3223000
428,3225000,3225000
429,3228000,3228000
430,3230000,3230000
431,3233000,3233000
432,3235000,3235000
433,3237000,3237000
434,3239000,3239000
435,3242000,3242000
436,3244000,3244000
437,3246000,3246000
438,3248000,3248000
439,3250000,3250000
440,3252000,3252000
441,3253000,3253000
442,3255000,3255000
443,3257000,3257000
444,3259000,3259000
445,3261000,3261000
446,3262000,3262000
447,3264000,3264000
448,3266000,3266000
449,3267000,3267000
450,3269000,3269000
451,3270000,3270000
452,3272000,3272000
453,3273000,3273000
454,3275000,3275000
455,3276000,3276000
456,3277000,3277000
457,3279000,3279000
458,3280000,3280000
459,3281000,3281000
460,3283000,3283000
461,3284000,3284000
462,3285000,3285000
463,3286000,3286000
464,3287000,3287000
465,3289000,3289000
466,3290000,3290000
467,3291000,3291000
468,3292000,3292000
469,3293000,3293000
470,3294000,3294000
471,3295000,3295000
472,3296000,3296000
473,3297000,3297000
474,3298000,3298000
475,3299000,3299000
476,3300000,3300000
477,3301000,3301000
478,3302000,3302000
479,3302000,3302000
480,3303000,3303000
481,3304000,3304000
482,3305000,3305000
483,3306000,3306000
484,3307000,3307000
485,3307000,3307000
486,3308000,3308000
487,3309000,3309000
488,3310000,3310000
489,3310000,3310000
490,3311000,3311000
491,3312000,3312000
492,3312000,3312000
493,3313000,3313000
494,3314000,3314000
495,3314000,3314000
496,3315000,3315000
497,3316000,3316000
498,3316000,3316000
499,3317000,3317000
500,3318000,3318000
501,3318000,3318000
502,3319000,3319000
503,3319000,3319000
504,3320000,3320000
505,3320000,3320000
506,3321000,3321000
507,3321000,3321000
508,3322000,3322000
509,3322000,3322000
510,3323000,3323000
511,3323000,3323000
512,3324000,3324000
513,3324000,3324000
514,3325000,3325000
515,3325000,3325000
516,3326000,3326000
517,3326000,3326000
518,3327000,3327000
519,3327000,3327000
520,3327000,3327000
521,3328000,3328000
522,3328000,3328000
523,3329000,3329000
524,3329000,3329000
525,3329000,3329000
526,3330000,3330000
527,3330000,3330000
