p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
0.000,18.47E3
1.000,19.50E3
2.000,20.55E3
3.000,21.61E3
4.000,22.68E3
5.000,23.76E3
6.000,24.86E3
7.000,25.96E3
8.000,27.07E3
9.000,28.20E3
10.00,29.33E3
11.00,30.48E3
12.00,31.63E3
13.00,32.80E3
14.00,33.97E3
15.00,35.16E3
16.00,36.35E3
17.00,37.55E3
18.00,38.77E3
19.00,39.99E3
20.00,41.21E3
21.00,42.45E3
22.00,43.70E3
23.00,44.95E3
24.00,46.22E3
25.00,47.49E3
26.00,48.76E3
27.00,50.05E3
28.00,51.35E3
29.00,52.65E3
30.00,53.96E3
31.00,55.27E3
32.00,56.60E3
33.00,57.93E3
34.00,59.27E3
35.00,60.62E3
36.00,61.97E3
37.00,63.33E3
38.00,64.70E3
39.00,66.08E3
40.00,67.46E3
41.00,68.85E3
42.00,70.24E3
43.00,71.65E3
44.00,73.05E3
45.00,74.47E3
46.00,75.89E3
47.00,77.32E3
48.00,78.76E3
49.00,80.20E3
50.00,81.65E3
51.00,83.11E3
52.00,84.57E3
53.00,86.04E3
54.00,87.52E3
55.00,89.00E3
56.00,90.49E3
57.00,91.98E3
58.00,93.48E3
59.00,94.99E3
60.00,96.51E3
61.00,98.03E3
62.00,99.55E3
63.00,101.1E3
64.00,102.6E3
65.00,104.2E3
66.00,105.7E3
67.00,107.3E3
68.00,108.9E3
69.00,110.4E3
70.00,112.0E3
71.00,113.6E3
72.00,115.2E3
73.00,116.8E3
74.00,118.4E3
75.00,120.0E3
76.00,121.6E3
77.00,123.2E3
78.00,124.9E3
79.00,126.5E3
80.00,128.2E3
81.00,129.8E3
82.00,131.5E3
83.00,133.1E3
84.00,134.8E3
85.00,136.5E3
86.00,138.2E3
87.00,139.8E3
88.00,141.5E3
89.00,143.2E3
90.00,145.0E3
91.00,146.7E3
92.00,148.4E3
93.00,150.1E3
94.00,151.9E3
95.00,153.6E3
96.00,155.4E3
97.00,157.1E3
98.00,158.9E3
99.00,160.7E3
100.0,162.4E3
101.0,164.2E3
102.0,166.0E3
103.0,167.8E3
104.0,169.6E3
105.0,171.5E3
106.0,173.3E3
107.0,175.1E3
108.0,176.9E3
109.0,178.8E3
110.0,180.6E3
111.0,182.5E3
112.0,184.4E3
113.0,186.2E3
114.0,188.1E3
115.0,190.0E3
116.0,191.9E3
117.0,193.8E3
118.0,195.7E3
119.0,197.7E3
120.0,199.6E3
121.0,201.5E3
122.0,203.5E3
123.0,205.4E3
124.0,207.4E3
125.0,209.3E3
126.0,211.3E3
127.0,213.3E3
128.0,215.3E3
129.0,217.3E3
130.0,219.3E3
131.0,221.3E3
132.0,223.4E3
133.0,225.4E3
134.0,227.4E3
135.0,229.5E3
136.0,231.6E3
137.0,233.6E3
138.0,235.7E3
139.0,237.8E3
140.0,239.9E3
141.0,242.0E3
142.0,244.1E3
143.0,246.2E3
144.0,248.4E3
145.0,250.5E3
146.0,252.7E3
147.0,254.8E3
148.0,257.0E3
149.0,259.2E3
150.0,261.4E3
151.0,263.6E3
152.0,265.8E3
153.0,268.0E3
154.0,270.2E3
155.0,272.5E3
156.0,274.7E3
157.0,277.0E3
158.0,279.2E3
159.0,281.5E3
160.0,283.8E3
161.0,286.1E3
162.0,288.4E3
163.0,290.7E3
164.0,293.1E3
165.0,295.4E3
166.0,297.8E3
167.0,300.1E3
168.0,302.5E3
169.0,304.9E3
170.0,307.3E3
171.0,309.7E3
172.0,312.1E3
173.0,314.6E3
174.0,317.0E3
175.0,319.5E3
176.0,321.9E3
177.0,324.4E3
178.0,326.9E3
179.0,329.4E3
180.0,331.9E3
181.0,334.5E3
182.0,337.0E3
183.0,339.6E3
184.0,342.1E3
185.0,344.7E3
186.0,347.3E3
187.0,349.9E3
188.0,352.5E3
189.0,355.2E3
190.0,357.8E3
191.0,360.5E3
192.0,363.1E3
193.0,365.8E3
194.0,368.5E3
195.0,371.2E3
196.0,373.9E3
197.0,376.7E3
198.0,379.4E3
199.0,382.2E3
200.0,385.0E3
201.0,387.8E3
202.0,390.6E3
203.0,393.4E3
204.0,396.3E3
205.0,399.1E3
206.0,402.0E3
207.0,404.9E3
208.0,407.8E3
209.0,410.7E3
210.0,413.6E3
211.0,416.6E3
212.0,419.5E3
213.0,422.5E3
214.0,425.5E3
215.0,428.5E3
216.0,431.6E3
217.0,434.6E3
218.0,437.7E3
219.0,440.7E3
220.0,443.8E3
221.0,446.9E3
222.0,450.1E3
223.0,453.2E3
224.0,456.4E3
225.0,459.5E3
226.0,462.7E3
227.0,465.9E3
228.0,469.2E3
229.0,472.4E3
230.0,475.7E3
231.0,478.9E3
232.0,482.2E3
233.0,485.5E3
234.0,488.9E3
235.0,492.2E3
236.0,495.6E3
237.0,498.9E3
238.0,502.3E3
239.0,505.8E3
240.0,509.2E3
241.0,512.6E3
242.0,516.1E3
243.0,519.6E3
244.0,523.1E3
245.0,526.6E3
246.0,530.1E3
247.0,533.7E3
248.0,537.2E3
249.0,540.8E3
250.0,544.4E3
251.0,548.0E3
252.0,551.6E3
253.0,555.3E3
254.0,558.9E3
255.0,562.6E3
256.0,566.3E3
257.0,570.0E3
258.0,573.7E3
259.0,577.5E3
260.0,581.2E3
261.0,585.0E3
262.0,588.7E3
263.0,592.5E3
264.0,596.3E3
265.0,600.1E3
266.0,603.9E3
267.0,607.8E3
268.0,611.6E3
269.0,615.5E3
270.0,619.3E3
271.0,623.2E3
272.0,627.1E3
273.0,631.0E3
274.0,634.9E3
275.0,638.8E3
276.0,642.7E3
277.0,646.6E3
278.0,650.5E3
279.0,654.4E3
280.0,658.4E3
281.0,662.3E3
282.0,666.2E3
283.0,670.2E3
284.0,674.1E3
285.0,678.0E3
286.0,682.0E3
287.0,685.9E3
288.0,689.8E3
289.0,693.8E3
290.0,697.7E3
291.0,701.6E3
292.0,705.5E3
293.0,709.4E3
294.0,713.3E3
295.0,717.2E3
296.0,721.0E3
297.0,724.9E3
298.0,728.8E3
299.0,732.6E3
300.0,736.4E3
301.0,740.2E3
302.0,744.0E3
303.0,747.8E3
304.0,751.6E3
305.0,755.3E3
306.0,759.0E3
307.0,762.7E3
308.0,766.4E3
309.0,770.1E3
310.0,773.7E3
311.0,777.3E3
312.0,780.9E3
313.0,784.4E3
314.0,788.0E3
315.0,791.5E3
316.0,795.0E3
317.0,798.4E3
318.0,801.8E3
319.0,805.2E3
320.0,808.6E3
321.0,811.9E3
322.0,815.2E3
