p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
315.0,708.3E3
316.0,710.0E3
317.0,711.7E3
318.0,713.4E3
319.0,715.1E3
320.0,716.7E3
321.0,718.3E3
322.0,719.8E3
323.0,721.3E3
324.0,722.8E3
325.0,724.3E3
326.0,725.7E3
327.0,727.1E3
328.0,728.4E3
329.0,729.8E3
330.0,731.1E3
331.0,732.4E3
332.0,733.6E3
333.0,734.8E3
334.0,736.0E3
335.0,737.2E3
336.0,738.3E3
337.0,739.4E3
338.0,740.5E3
339.0,741.6E3
340.0,742.6E3
341.0,743.7E3
342.0,744.6E3
343.0,745.6E3
344.0,746.6E3
345.0,747.5E3
346.0,748.4E3
347.0,749.3E3
348.0,750.1E3
349.0,751.0E3
350.0,751.8E3
351.0,752.6E3
352.0,753.3E3
353.0,754.1E3
354.0,754.8E3
355.0,755.6E3
356.0,756.3E3
357.0,757.0E3
358.0,757.6E3
359.0,758.3E3
360.0,758.9E3
361.0,759.5E3
362.0,760.1E3
363.0,760.7E3
364.0,761.3E3
365.0,761.9E3
366.0,762.4E3
367.0,762.9E3
368.0,763.4E3
369.0,763.9E3
370.0,764.4E3
371.0,764.9E3
372.0,765.4E3
373.0,765.8E3
374.0,766.3E3
375.0,766.7E3
376.0,767.1E3
377.0,767.5E3
378.0,767.9E3
379.0,768.3E3
380.0,768.7E3
381.0,769.1E3
382.0,769.4E3
383.0,769.8E3
384.0,770.1E3
385.0,770.5E3
386.0,770.8E3
387.0,771.1E3
388.0,771.4E3
389.0,771.7E3
390.0,772.0E3
391.0,772.3E3
392.0,772.6E3
393.0,772.8E3
394.0,773.1E3
395.0,773.3E3
396.0,773.6E3
397.0,773.8E3
398.0,774.1E3
399.0,774.3E3
400.0,774.5E3
401.0,774.7E3
402.0,775.0E3
403.0,775.2E3
404.0,775.4E3
405.0,775.6E3
406.0,775.8E3
407.0,775.9E3
408.0,776.1E3
409.0,776.3E3
410.0,776.5E3
411.0,776.6E3
412.0,776.8E3
413.0,777.0E3
414.0,777.1E3
415.0,777.3E3
416.0,777.4E3
417.0,777.6E3
418.0,777.7E3
419.0,777.8E3
420.0,778.0E3
421.0,778.1E3
422.0,778.2E3
423.0,778.4E3
424.0,778.5E3
425.0,778.6E3
426.0,778.7E3
427.0,778.8E3
428.0,778.9E3
429.0,779.0E3
430.0,779.1E3
431.0,779.2E3
432.0,779.3E3
433.0,779.4E3
434.0,779.5E3
435.0,779.6E3
436.0,779.7E3
437.0,779.8E3
438.0,779.9E3
439.0,780.0E3
440.0,780.0E3
441.0,780.1E3
442.0,780.2E3
443.0,780.3E3
444.0,780.4E3
445.0,780.4E3
446.0,780.5E3
447.0,780.6E3
448.0,780.6E3
449.0,780.7E3
450.0,780.8E3
451.0,780.8E3
452.0,780.9E3
453.0,780.9E3
454.0,781.0E3
455.0,781.0E3
456.0,781.1E3
457.0,781.2E3
458.0,781.2E3
459.0,781.3E3
460.0,781.3E3
461.0,781.4E3
462.0,781.4E3
463.0,781.5E3
464.0,781.5E3
465.0,781.5E3
466.0,781.6E3
467.0,781.6E3
468.0,781.7E3
469.0,781.7E3
470.0,781.7E3
471.0,781.8E3
472.0,781.8E3
473.0,781.9E3
474.0,781.9E3
475.0,781.9E3
476.0,782.0E3
477.0,782.0E3
478.0,782.0E3
479.0,782.1E3
480.0,782.1E3
481.0,782.1E3
482.0,782.1E3
483.0,782.2E3
484.0,782.2E3
485.0,782.2E3
486.0,782.3E3
487.0,782.3E3
488.0,782.3E3
489.0,782.3E3
490.0,782.4E3
491.0,782.4E3
492.0,782.4E3
493.0,782.4E3
494.0,782.5E3
495.0,782.5E3
496.0,782.5E3
497.0,782.5E3
498.0,782.5E3
499.0,782.6E3
500.0,782.6E3
501.0,782.6E3
502.0,782.6E3
503.0,782.6E3
504.0,782.7E3
505.0,782.7E3
506.0,782.7E3
507.0,782.7E3
508.0,782.7E3
509.0,782.7E3
510.0,782.8E3
511.0,782.8E3
512.0,782.8E3
513.0,782.8E3
514.0,782.8E3
515.0,782.8E3
516.0,782.8E3
517.0,782.9E3
518.0,782.9E3
519.0,782.9E3
520.0,782.9E3
521.0,782.9E3
522.0,782.9E3
523.0,782.9E3
524.0,782.9E3
525.0,782.9E3
526.0,783.0E3
527.0,783.0E3
528.0,783.0E3
529.0,783.0E3
530.0,783.0E3
531.0,783.0E3
532.0,783.0E3
533.0,783.0E3
534.0,783.0E3
535.0,783.0E3
536.0,783.1E3
537.0,783.1E3
538.0,783.1E3
539.0,783.1E3
540.0,783.1E3
541.0,783.1E3
542.0,783.1E3
543.0,783.1E3
544.0,783.1E3
545.0,783.1E3
546.0,783.1E3
547.0,783.1E3
548.0,783.2E3
549.0,783.2E3
550.0,783.2E3
551.0,783.2E3
552.0,783.2E3
553.0,783.2E3
554.0,783.2E3
555.0,783.2E3
556.0,783.2E3
557.0,783.2E3
558.0,783.2E3
559.0,783.2E3
560.0,783.2E3
561.0,783.2E3
562.0,783.2E3
563.0,783.2E3
564.0,783.2E3
565.0,783.3E3
566.0,783.3E3
567.0,783.3E3
568.0,783.3E3
569.0,783.3E3
570.0,783.3E3
571.0,783.3E3
572.0,783.3E3
573.0,783.3E3
574.0,783.3E3
575.0,783.3E3
576.0,783.3E3
577.0,783.3E3
578.0,783.3E3
579.0,783.3E3
580.0,783.3E3
581.0,783.3E3
582.0,783.3E3
583.0,783.3E3
584.0,783.3E3
585.0,783.3E3
586.0,783.3E3
587.0,783.3E3
588.0,783.3E3
589.0,783.3E3
590.0,783.3E3
591.0,783.3E3
592.0,783.4E3
593.0,783.4E3
594.0,783.4E3
595.0,783.4E3
596.0,783.4E3
597.0,783.4E3
598.0,783.4E3
599.0,783.4E3
600.0,783.4E3
601.0,783.4E3
602.0,783.4E3
603.0,783.4E3
604.0,783.4E3
605.0,783.4E3
606.0,783.4E3
607.0,783.4E3
608.0,783.4E3
609.0,783.4E3
610.0,783.4E3
611.0,783.4E3
612.0,783.4E3
613.0,783.4E3
